0	1	2	3	4	5	6
46	coefficient_product	-0.3905372896674225	-0.3876736179315464	-0.3876736179315464	-0.002863671735876098	-0.002863671735876098
47	coefficient_product	-0.37357567042841017	-0.3692690145643056	-0.3692690145643056	-0.0043066558641045565	-0.0043066558641045565
48	coefficient_product	-0.3876314946982523	-0.38469862578067704	-0.38469862578067704	-0.00293286891757528	-0.00293286891757528
49	coefficient_product	-0.38661743175938845	-0.3836343740889659	-0.3836343740889659	-0.002983057670422553	-0.002983057670422553
50	coefficient_product	-0.3875566800545805	-0.3868181647910236	-0.3868181647910236	-0.0007385152635568861	-0.0007385152635568861
51	coefficient_product	-0.3856633397285561	-0.38183292122476115	-0.38183292122476115	-0.0038304185037949406	-0.0038304185037949406
52	coefficient_product	-0.37156025970569223	-0.3671780517343679	-0.3671780517343679	-0.004382207971324322	-0.004382207971324322
53	coefficient_product	-0.3666085108168764	-0.3632813171192191	-0.3632813171192191	-0.003327193697657254	-0.003327193697657254
54	coefficient_product	-0.39019294646934516	-0.38471775009990383	-0.38471775009990383	-0.005475196369441333	-0.005475196369441333
55	coefficient_product	-0.3767272470469453	-0.37615828829330333	-0.37615828829330333	-0.0005689587536420115	-0.0005689587536420115
56	coefficient_product	-0.3948610684276147	-0.39115517577225684	-0.39115517577225684	-0.0037058926553578415	-0.0037058926553578415
57	coefficient_product	-0.41008152948934995	-0.40496759003798843	-0.40496759003798843	-0.005113939451361517	-0.005113939451361517
58	coefficient_product	-0.3878324515534403	-0.38525170437870815	-0.38525170437870815	-0.0025807471747321836	-0.0025807471747321836
59	coefficient_product	-0.38273049568892414	-0.37990171482654334	-0.37990171482654334	-0.002828780862380788	-0.002828780862380788
60	coefficient_product	-0.37833537675268003	-0.3727797686916969	-0.3727797686916969	-0.005555608060983151	-0.005555608060983151
61	coefficient_product	-0.3899778784666076	-0.38431108958889576	-0.38431108958889576	-0.005666788877711849	-0.005666788877711849
62	coefficient_product	-0.38156143329600384	-0.37864120721910605	-0.37864120721910605	-0.0029202260768978147	-0.0029202260768978147
63	coefficient_product	-0.3761175334207708	-0.3734891234094112	-0.3734891234094112	-0.0026284100113595776	-0.0026284100113595776
64	coefficient_product	-0.37719184043827053	-0.37344801197266086	-0.37344801197266086	-0.0037438284656096596	-0.0037438284656096596
65	coefficient_product	-0.3980752255773944	-0.39198634766833523	-0.39198634766833523	-0.006088877909059134	-0.006088877909059134
66	coefficient_product	-0.4006590699247983	-0.39699542530919674	-0.39699542530919674	-0.003663644615601527	-0.003663644615601527
67	coefficient_product	-0.37947486545999193	-0.375367555112142	-0.375367555112142	-0.004107310347849921	-0.004107310347849921
68	coefficient_product	-0.3979231175592509	-0.3933685866135948	-0.3933685866135948	-0.004554530945656112	-0.004554530945656112
69	coefficient_product	-0.39905043514697575	-0.3967557012498804	-0.3967557012498804	-0.002294733897095336	-0.002294733897095336
70	coefficient_product	-0.40125168576998577	-0.39785760693779104	-0.39785760693779104	-0.003394078832194716	-0.003394078832194716
71	coefficient_product	-0.37341111998105214	-0.37060943000473945	-0.37060943000473945	-0.0028016899763126943	-0.0028016899763126943
72	coefficient_product	-0.36659672368465945	-0.3631070840443995	-0.3631070840443995	-0.0034896396402599654	-0.0034896396402599654
73	coefficient_product	-0.39738166385395574	-0.3953507694716565	-0.3953507694716565	-0.0020308943822992735	-0.0020308943822992735
74	coefficient_product	-0.4030028420419947	-0.40048184972267237	-0.40048184972267237	-0.0025209923193223187	-0.0025209923193223187
75	coefficient_product	-0.3919544393881752	-0.3867274819100317	-0.3867274819100317	-0.005226957478143491	-0.005226957478143491
